NOMBRE|CARGO|OPCION O SIGLA|CODIGO GEOGRAFIA|CANDIDATO O GANADORLUIS ALBERTO ARCE CATACORA|PRESIDENTE|undefined|undefined|ELECTO
DAVID CHOQUEHUANCA CESPEDES|VICEPRESIDENTE|undefined|undefined|ELECTO
GUSTAVO VEGA PIÑA|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
BLANCA MAGALY LOPEZ SANDOVAL|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
TRINIDAD ROCHA ROBLES|SENADORES (AS)|undefined|undefined|ELECTO
ROBERTO PADILLA BEDOYA|SENADORES (AS)|undefined|undefined|ELECTO
OMAR AL YABHAT YUJRA SANTOS|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
GRISELDA SOLEDAD PEREZ ALBERTO|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
FREDDY VELASQUEZ APARICIO|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
GLORIA MAGDALENA CALLIZAYA RODRIGUEZ|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
FROILAN MAMANI CHOQUE|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
BETTY BEATRIZ YAÑIQUEZ LOZANO|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
FREDDY LOPEZ CHOQUE|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
FREDDY MAMANI LAURA|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
BERTHA BEATRIZ  ACARAPI|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
SIMONA QUISPE APAZA|SENADORES (AS)|undefined|undefined|ELECTO
FELIX AJPI AJPI|SENADORES (AS)|undefined|undefined|ELECTO
VIRGINIA VELASCO CONDORI|SENADORES (AS)|undefined|undefined|ELECTO
JHONNY PARDO RAMIREZ|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
FELICIA ALEJO HIDALGO|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
JOSE LUIS FLORES COLQUILLO|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
MAGALY LOURDES GOMEZ ARANIBAR|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
LEONARDO  LOZA|SENADORES (AS)|undefined|undefined|ELECTO
ANDRONICO RODRIGUEZ LEDEZMA|SENADORES (AS)|undefined|undefined|ELECTO
MARIA PATRICIA ARCE GUZMAN|SENADORES (AS)|undefined|undefined|ELECTO
LILY BERNABE COLQUE|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
RUBEN GUTIERREZ CARRIZO|SENADORES (AS)|undefined|undefined|ELECTO
LINDAURA RASGUIDO MEJIA|SENADORES (AS)|undefined|undefined|ELECTO
MIGUEL PEREZ SANDOVAL|SENADORES (AS)|undefined|undefined|ELECTO
ALEXSANDRA ZENTENO CARDOZO|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
JUAN JOSE HUANCA MAMANI|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
MIGUEL ANGEL REJAS VARGAS|SENADORES (AS)|undefined|undefined|ELECTO
GLADYS VALENTINA ALARCON FARFAN|SENADORES (AS)|undefined|undefined|ELECTO
ANYELO GERARDO CESPEDES MIRANDA|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
ALINA CANAVIRI SULLCANI|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
JERGES MERCADO SUAREZ|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
ESTEFANIA MORALES LAURA|DIPUTADOS (AS) PLURINOMINAL|undefined|undefined|ELECTO
ISIDORO QUISPE HUANCA|SENADORES (AS)|undefined|undefined|ELECTO
SOLEDAD FLORES VELASQUEZ|SENADORES (AS)|undefined|undefined|ELECTO
